Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	159-160	9	Δαρείου	relation	ATR	ATR_CO
0085-002	159-160	9	Δαρείου	head	13	11
0085-002	159-160	10	τε	head	9	11
0085-002	159-160	11	κἀμὸν	lemma	καί	ἐμός
0085-002	159-160	11	κἀμὸν	postag	b--------	a-s---na-
0085-002	159-160	11	κἀμὸν	relation	AuxY	COORD
0085-002	159-160	11	κἀμὸν	head	9	13
0085-002	179-180	4	τοιόνδ’	relation	ADV	AuxZ	y
0085-002	179-180	5	ἐναργὲς	relation	ADV	AtvV
0085-002	179-180	7	ὡς	postag	c--------	d--------
0085-002	181-186	2	μοι	postag	p1s---cd-	p-s---fd-
0085-002	181-186	4	γυναῖκ’	relation	SBJ	SBJ_AP
0085-002	181-186	4	γυναῖκ’	head	1	6
0085-002	181-186	6	,	relation	AuxX	APOS
0085-002	181-186	6	,	head	0	1
0085-002	181-186	7	ἡ	postag	l-s---fn-	p-s---fn-
0085-002	181-186	7	ἡ	relation	APOS_CO	SBJ_AP_CO
0085-002	181-186	13	ἡ	postag	l-s---fn-	p-s---fn-
0085-002	181-186	13	ἡ	relation	APOS_CO	SBJ_AP_CO
0085-002	181-186	14	δ’	head	4	6
0085-002	181-186	15	αὖτε	relation	ADV	AuxY
0085-002	181-186	17	,	head	4	6
0085-002	181-186	24	τῶν	postag	l-p---fg-	p-p---fg-
0085-002	181-186	27	πολύ	relation	ADV	AuxZ	y
0085-002	181-186	36	ταὐτοῦ	lemma	αὐτός	ταὐτός	y
0085-002	180	1	λέξω	relation	PRED	PRED_CO
0085-002	180	1	λέξω	head	0	2
0085-002	180	2	δέ	head	1	0
0085-002	180	3	σοι	postag	p2s---cd-	p-s---md-
0085-002	186-187	2	δ’	head	12	0
0085-002	186-187	4	ἡ	postag	l-s---fn-	p-s---fn-
0085-002	186-187	9	γαῖαν	lemma	γῆ	γαῖα
0085-002	186-187	11	ἡ	postag	l-s---fn-	p-s---fn-
0085-002	186-187	12	δὲ	head	0	2
0085-002	189-192	1	παῖς	postag	n-s---cn-	n-s---mn-
0085-002	197-198	4	παῖς	postag	n-s---cn-	n-s---mn-
0085-002	197-198	5	,	relation	AuxX	AuxZ	y
0085-002	197-198	10	οἰκτείρων	lemma	οἰκτίρω	οἰκτείρω	y
0085-002	197-198	11	σφε	postag	p3p---ca-	p-s---ma-
0085-002	176-178	9	οὗπερ	lemma	ὅς	ὄσπερ
0085-002	176-178	10	παῖς	postag	n-s---cn-	n-s---mn-
0085-002		5	ὡς	relation	AuxC	AuxZ	y
0085-002		7	’δόκουν	head	5	0
0085-002	198-199	2	δ’	head	8	0
0085-002	198-199	8	ῥήγνυσιν	head	0	2
0085-002	192-196	1	χἠ	postag	l-s---fn-	p-s---fn-
0085-002	192-196	13	ἡ	postag	l-s---fn-	p-s---fn-
0085-002	201-204	2	δ’	head	14	0
0085-002	201-204	14	προσέστην	relation	PRED	PRED_CO
0085-002	201-204	14	προσέστην	head	0	2
0085-002	211-214	5	παῖς	postag	n-s---cn-	n-s---mn-
0085-002	211-214	11	ἂν	relation	AuxY	AuxZ	y
0085-002	211-214	12	γένοιτ’	postag	v3saom---	v3sao----	y
0085-002	211-214	23	σωθεὶς	lemma	σῴζω	σώζω	y
0085-002	206	2	δ’	head	4	0
0085-002	206	3	ἄφθογγος	relation	ADV	AtvV
0085-002	206	4	ἐστάθην	relation	PRED	PRED_CO
0085-002	206	4	ἐστάθην	head	0	2
0085-002	200	1	καὶ	postag	d--------	c--------
0085-002	200	1	καὶ	relation	AuxY	COORD
0085-002	200	1	καὶ	head	7	0
0085-002	200	4	δὴ	relation	AuxY	AuxZ
0085-002	200	4	δὴ	head	7	3
0085-002	200	7	λέγω	head	0	1
0085-002	207-209	2	δὲ	head	4	0
0085-002	207-209	4	εἰσορῶ	relation	PRED	PRED_CO
0085-002	207-209	4	εἰσορῶ	head	0	2
0085-002	209-210	1	ὁ	postag	l-s---mn-	p-s---mn-
0085-002	209-210	2	δ’	head	11	0
0085-002	209-210	11	[0]	relation	PRED	PRED_CO
0085-002	209-210	11	[0]	head	0	2
0085-002	205-206	1	ὁρῶ	relation	PRED	PRED_CO
0085-002	205-206	1	ὁρῶ	head	0	2
0085-002	205-206	2	δὲ	head	1	0
0085-002	210-211	1	ταῦτ’	head	10	7
0085-002	210-211	2	ἔμοιγε	postag	p1s---cd-	p-s---fd-
0085-002	210-211	5	,	head	10	7
0085-002	210-211	6	ὑμῖν	postag	p2p---cd-	p-p---md-
0085-002	210-211	7	δ’	head	10	0
0085-002	210-211	10	[0]	relation	PRED	PRED_CO
0085-002	210-211	10	[0]	head	0	7
0085-002	226-227	2	μὴν	head	15	1
0085-002	226-227	9	κριτὴς	relation	ADV	AtvV
0085-002	226-227	10	παιδὶ	postag	n-s---cd-	n-s---md-
0085-002	219-220	1	δεύτερον	relation	ADV	AuxY	y
0085-002	219-220	1	δεύτερον	head	3	2	y
0085-002	219-220	2	δὲ	head	3	0
0085-002	219-220	3	χρὴ	relation	PRED	PRED_CO
0085-002	219-220	3	χρὴ	head	0	2
0085-002	219-220	5	γῇ	form	γῇ	Γῇ
0085-002	225	2	δὲ	head	7	0
0085-002	225	3	πανταχῇ	lemma	πανταχῇ	πανταχῆ	y
0085-002	225	5	σοι	postag	p2s---cd-	p-s---fd-
0085-002	225	7	κρίνομεν	relation	PRED	PRED_CO
0085-002	225	7	κρίνομεν	head	0	2
0085-002	230-231	1	κεῖνα	lemma	ἐκεῖνος	κεῖνος	y
0085-002	230-231	1	κεῖνα	relation	OBJ	OBJ_AP
0085-002	230-231	1	κεῖνα	head	3	8
0085-002	230-231	2	δ’	head	4	0
0085-002	230-231	4	θέλω	head	0	2
0085-002	230-231	8	,	relation	AuxX	APOS
0085-002	230-231	8	,	head	0	3
0085-002	230-231	12	φασὶν	relation	APOS	OBJ_AP
0085-002	230-231	12	φασὶν	head	1	8
0085-002	215-216	2	σε	postag	p2s---ca-	p-s---fa-
0085-002	215-216	7	οὔ	lemma	οὔτε	οὔτι	y
0085-002	220-223	2	δ’	head	3	0
0085-002	220-223	3	αἰτοῦ	relation	PRED	PRED_CO
